,title,company,location,summary,mean_salary
2157,technical business analyst,Intrum,London,"as a technical business analyst you will have a minimum of 2 to 3 years’ experience using agile / waterfall processes (scrum and kanban), along with sound…",46784.5
2331,senior bi analyst,Metrica Recruitment,England,sql experience of querying data and building data pipelines.their data science and analytics team is a core component of their business model and key…,65000.0
2476,fintech data analyst,Metrica Recruitment,London,"will have at least 1 year of financial services based, data analytics experience.in addition to this you will analyse and report on data and metrics relating…",55000.0
2581,data analyst - psychometrician/statistician,National Foundation for Educational Research,United Kingdom,excellent quantitative data analysis skills.conducting psychometric and/or statistical analysis of research and assessment data.what you’ll be doing.,35000.0
2583,operations manager / investment analyst,Capio Recruitment,London•Remote,strong organisational skills and good ability with numbers and data analysis.job title: operations manager / investment analyst*.,40000.0
2590,finance project/data analyst,Page Personnel - UK,London upon Thames,ideally from a finance background (finance analyst/data analyst).great opportunity to work for a highly regarded organisation.,32000.0
2802,longevity pricing analyst,Sellick Partnership,London,"for information on how your personal details may be used by sellick partnership, please review our data processing notice which can be found in the footer on…",50000.0
2915,business analyst,Hunter Selection,London,"business analyst – £65k – £75k – data modelling, data cleansing, data architecture, data integration.i am seeking an experienced data focused business analyst…",70000.0
6,fraud and error risk analysis and control officer,Scottish Government,Glasgow,analyse data to identify emerging risks whilst identifying appropriate controls and monitoring the effectiveness of these.,28385.5
10,data analyst - nhs,Meridian,Glasgow G2,the manipulation of data files using a variety of software packages in preparation for further analysis.we are currently looking for an experienced informaton …,29508.5
12,data and reporting analyst,Arcus FM,Glasgow,extensive experience in data analysis & reporting from multiple data sources and complex data sets.do you enjoy working with data?salary up to £34k.,34000.0
16,performance & reporting analyst,Network Rail,Glasgow G2 5NW,monitor so that data inputted into cost and performance systems meets data standards.we actively challenge unsafe practices and take responsibility for…,32740.0
18,fraud and error risk analysis and control officer,TMPW (hp) for social security scotland,Glasgow,analyse data to identify emerging risks whilst identifying appropriate controls and monitoring the effectiveness of these.analysis and use of evidence.,26995.0
20,senior data analyst,Centre for Substance Use Research,Glasgow G3 7UY,"this post would require you to have experience of analysing large health related data sets using statistical software packages, specifically spss; providing…",55000.0
22,business change analyst,Police Scotland Authority,Glasgow,"you will undertake business analyst responsibilities such as requirements definition, process mapping, gap analysis, test planning and workshop facilitation to…",32604.0
25,lecturer/ senior lecturer/ reader in statistics & data analy...,University of Glasgow,Glasgow,"c6 appropriate it and data analysis/interpretation skills.to carry out research and scholarship in the area of statistics and data analytics, deliver an…",56685.0
28,business process analyst,Police Scotland Authority,Glasgow,you will be responsible creating and facilitating process design changes by conducting business and systems process analysis and design at a complex level;…,28549.0
29,data quality analyst,PDA,Glasgow G5 0US,"raising data quality and performance levels aLondon city’s data landscape.perform any activities relating to data quality compliance such as awareness-raising,…",26500.0
31,supply chain analyst,Engage Recruitment,Glasgow G1,strong focus on data analysis.use large and complicated data sets to provide complex but clear reports which provide business insights and use data to…,30500.0
32,eqa project administrator_data analysis,Qnostics,Glasgow G20 0XA•Temporarily Remote,"experience in handling scientific data and report writing.support the collection, collation, data analysis process:eqa project administrator\_data analysis.",17000.0
41,graduate data analyst,GWG Associates,Glasgow,"ability to investigate data, find trends, forecast performance and provide insightful.my client is a sme organisation based near glasgow who has an exciting…",23000.0
56,business analyst,Be-IT Resourcing,Glasgow,"demonstrate success in a similar business analyst role.have agile experience, or at least solid understanding of principles.",55000.0
61,nhs - information analyst,Meridian,Glasgow G2,the manipulation of data files using a variety of software packages in preparation for further analysis.we are currently looking for an experienced information…,29508.5
71,data and performance analyst,Cactus Search,Glasgow,"the ability to analyse , model and interpret data.demonstratable experience within an analytical or data mining focused role.",37500.0
73,business analyst,Momentum Security Recruitment,Glasgow•Remote,collection and analysis of data to support management decisions.previous experience as a business analyst with a successful track record of delivering required…,35000.0
75,data analyst - business intelligence,Irekruit UK,Glasgow,"general data analytics concepts, familiarity with data modelling, setting up data connections in qlik sese and using rest api’s.",60000.0
84,performance analyst,Michael Page UK,Glasgow,analysing data and producing summary to supports senior managers in their understanding of compliance and service data in operational areas.,30500.0
86,sql data support analyst - leading property saas platform,RecruitmentRevolution.com,Glasgow,you will need to have a good understanding of the principles of relational databases along with knowledge of the data structures and data types used in common…,35000.0
88,financial planning analyst - global drinks business,Page Personnel - UK,Glasgow,maintain data links between sap and ibm tm1 planning analytics.prepare budgets/forecast on time in full and to a high quality.,38500.0
89,pricing & sales analyst,Total Recruitment Group,Hillington,"must have advanced excel to manipulate data.type - this is a full time, permanent vacancy with further career opportunities*.job types: full-time, permanent.",37500.0
95,business analyst,Michael Page UK,Glasgow,"analysis of data to support senior management - both financial and operational datasets.preparing, analysing and maintaining management reporting, key datasets…",45000.0
100,business test analyst,Momentum Security Recruitment,Glasgow•Remote,"understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.job types: full-time, permanent.",25000.0
102,sql bi developer,Ashdown Group,Glasgow,"the successful candidate will support and maintain components of their data warehouse, business intelligence and reporting stacks.",44000.0
106,test analyst (business process testing),Momentum Security Recruitment,Glasgow•Remote,"understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.job types: full-time, permanent.",26000.0
107,lead power bi developer,Kura,Glasgow G4 0JY,"experienced data analysis practitioner, having implemented sql, power query, m or dax constructs to query, transform or process data.",39000.0
119,power bi developer,MBN Recruitment Solutions,Glasgow•Remote,strong sql skills for stored procedures and to translate meaning of the data.the current tabular models are built in ssas within an on premise data warehouse.,30000.0
121,test analyst (business process testing),Momentum Security Recruitment,Glasgow•Remote,understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.salary: £25k - £27k*.,26000.0
740,data analyst apprentice- fourth floor,Estio Training,Bristol BS1 4NT,acquiring data from primary or secondary data sources and maintaining databases/data systems.interpreting data using statistical techniques to uncover trends…,19250.0
741,commercial data analyst,Liberation Group,Bristol BS40,"this is a great opportunity for someone to move into a buying or procurement role and would suit someone with a good understanding of excel, data and analytics.",24500.0
742,data and research analyst,Office for National Statistics,Cardiff,"you will make use of more administrative data from both within and beyond government, alongside transforming our existing surveys to ensure they capture the…",39678.5
744,bi analyst,Data Idols,Bristol,this role will see you have a direct impact on the business creating visualisations from data collected from multiple sources and presenting this back to…,32500.0
745,data quality analyst,Lloyds Banking Group,Bristol,"perform profiling of data sources to support data discovery, sharing analysis with senior partners.you’ll deliver on investigations and analysis on our key…",53324.5
746,complaints analyst,ALD Automotive,Bristol BS16 7LB,"through data analysis undertake detailed root cause investigation into complaint themes and identify opportunities to improve the customer experience, identify…",30000.0
748,senior insight analyst,Lloyds Banking Group,Bristol,promote the prominent use of data and analytics in cco.experience using data science tools such as r or python.,48834.5
750,senior bi analyst,University Hospitals Bristol and Bristol NHS...,Bristol BS2 8EJ,develop solutions in line with recognised trust standards and nhs data quality standards.advise and support colleagues in their work developing bi solutions…,42948.0
755,business intelligence analyst - contracting,"Bristol, North Somerset and South Gloucestershire...",Bristol,experience of data visualisations and communicating complex information to a range of audiences.providing business intelligence insights aLondon the health and…,28594.5
756,associate business analyst,Defence Equipment & Support,Bristol,"de&s (defence equipment & support) is hiring an associate business analyst to join our tech function, based in mod abbey wood, bristol.",27750.0
758,junior data analyst,Resource Solutions,Bristol,"implementation of software to deliver client projects, including connecting the underlying accounting platforms via apis, setting up dimensions to enable…",22000.0
764,principal commissioning analyst,Arden and GEM Commissioning Support Unit,Bristol BS1 3NX,"demonstrate advanced skills in data modelling, data visualisation, statistical analysis.lead on the validation of provider data/billing.",42948.0
765,supply chain analyst,Metrica Recruitment,Bristol,"good data analysis skills e.g. excel, microsoft dynamics, sql.it will be your responsibility to ensure effective financial governance of the supply chain, from…",35000.0
771,insights analyst,Somerset Bridge Group,Bristol,scope out new data sources.help build new data sources.ensure the data tables are always up to date and accurate.employment type - full time - permanent.,50000.0
773,business change analyst,Digital Data Foundation,Bristol BS1•Remote,"work with business analysts and key stakeholders to determine the priority of requirements and outcomes and adoption plan.job types: full-time, permanent.",52500.0
774,senior business analyst,Robert Half,Bristol•Remote,ensure accuracy of data within business case models.experience interpreting data from various sources and using this to drive business change.,55000.0
777,senior credit risk analyst,TSB Banking,Bristol,use tools such as sas and excel at an advanced level to manipulate and interrogate data from a wide variety of large datasets.a keen eye for detail.,39999.5
779,de&s associate business analyst,Ministry of Defence,Bristol,"mod - defence equipment & support - im&it.flexible working, full-time, job share, part-time.you’ll help to deliver a transformation programme at the heart of…",27750.0
781,data analyst,ADLIB,Bristol,"excellent statistical skills, being able to spot genuine trends in the data.the ability to find and access data sets in a variety of different formats.",47500.0
782,treasury and reporting analyst,ALD Automotive,Bristol BS16 7FN•Remote,ad hoc modelling and analysis of large data sets to inform ald strategy.development of reports and processes to improve and ensure data integrity within the…,28000.0
785,asset risk analyst,Bristol Water,Bristol BS13,you will need to be comfortable with manipulating and analysing data from varying sources and then drawing conclusions from it.,30000.0
789,business analyst (fixed-term post),University of Bristol,Bristol,"you will work with senior stakeholders aLondon the university on the scoping, composition and analysis of the portfolio programmes and projects, progress against…",34304.0
793,technical product owner - chief data & analytics office,Lloyds Banking Group,Bristol,they are also driv ing a more sophisticated approach to how they produce and distribute bi to enable more data-led decisions and help lbg achieve its ambition…,53324.5
795,business analyst (change),ALD Automotive,Bristol BS16 7FN,using data collected both internally and by studying the market/our competitors to help build and inform understanding of the current state and the impact…,42500.0
797,modeller & data analyst,Cirrus Selection,Bristol,"analysis of complex data sets.prior experience of modelling tools, model development and data analysis.the role will be scoped to best match individual’s…",48000.0
801,technical data analyst - home - based - gbp40 - 45k,Nigel Frank International Limited,Bristol•Remote,"this role is highly technical as you will work with large data-sets from a variety of different sources utilising your strong experience with sql server, ms…",42500.0
802,client reporting analyst,Page Personnel - UK,Bristol,"streamline our data capture, management and reporting processes.permanent role for a client reporting analyst.support the on-boarding of new clients.",23500.0
808,"magnox hub, bristol: it business analyst apprenticeship - le...",MAGNOX LTD,Bristol,familiarity with data analysis / presentation.interpret data relating to company policies and workflows.use spreadsheets to record data on a project.,16594.0
809,senior business intelligence analyst,University of the West of England,Bristol,"p&bi are looking to recruit a senior business intelligence analyst to design, build and present management information reports, using specialist knowledge and…",37615.5
811,business analyst,Stanton House,Bristol,"creating informative reporting that can be repeated from various data sources.experience working with systems, data, software and tools.",60000.0
814,business analyst,Heat Recruitment,Bristol•Remote,the business analyst will have experience of working within the transformation space and exposure to large scale projects – including data migration and new…,45000.0
816,data analyst (pricing),Artis Recruitment,Bristol•Remote,"you'll be dealing with large volumes of data so your excel skills with be excellent, you'll have strong sql capability and be an absolute whizz at data…",45000.0
817,data analyst,Artis Recruitment,Bristol,"acquire data from primary or secondary data sources and maintain databases/data systems.develop and implement databases, data collection systems, data…",47500.0
823,business analyst,ALD Automotive,Bristol BS16 7FN,using data collected both internally and by studying the market/our competitors to help build and inform understanding of the current state and the impact…,42500.0
826,systems and operational support analyst,Juice Recruitment Ltd,Bristol,day to day operational and system support processes for the portal.responding to and acting on any issues/requests from the field teams in a timely manner.,29500.0
834,data analytics consultant / developer,Shift F5,Bristol,"* previous experience analysing sales & marketing data.key responsibilities will involve building dashboards in javascript as well as deriving, analysing and…",40000.0
835,senior customer insight analyst - bristol,Motability Operations Ltd,Bristol BS16 1EJ,thorough understanding of all appropriate data regulations and gdpr.strong analytical skills and understanding of customer data and databases.,39500.0
837,finance analyst,Butler Rose Ltd,Bristol,support the budget and forecast cycles and consolidating data.analysis and data manipulation to provide business inside and decision making.,37500.0
838,senior customer insight analyst,ADLIB,Bristol,your role will involve delivering into data to produce measurable results for various departments; producing regular reports for monitoring purposes (aLondon…,35000.0
839,senior data protection analyst,Artis Recruitment,Bristol•Remote,drive compliance with data governance policy requirements to archive and destroy data at the end of the information lifecycle aLondon the business.,47500.0
840,data analyst / environmental modeller,RSK Group,Bristol,"the modelling and informatics group is focused on developing tools and modelling to support development of government policy, the analysis of spatial data and…",25000.0
841,defence digital - business analyst,Ministry of Defence,Bristol•Temporarily Remote,"use business process testing to report on project, services and system quality and collect metrics/data on test cases.business analysis (buan) level 4.",40000.0
845,business analyst,Momentum Security Recruitment,Bristol+1 location•Remote,collection and analysis of data to support management decisions.previous experience as a business analyst with a successful track record of delivering required…,35000.0
855,sparkworks e&v modeller and analyst,Electus Recruitment Solutions Ltd,Bristol,"analysis of complex data sets.prior experience of modelling tools, model development and data analysis.the role will be scoped to best match individual’s…",44000.0
858,principal business analyst,Cabinet Office,Bristol,"line manage other business analysts in the team and champion professional learning and development.people management experience, including experience operating…",62904.0
864,business analyst,ADLIB,Bristol,"the business is growing and there’s never been a better time to join as they’re undergoing a large transformation project, involving data warehouse, onboarding…",35000.0
865,performance reporting analyst,Grand Union Housing Group,Hill,"demonstrable skills in reviewing information and analysing historical data and performance.educated to at least a level in a data driven discipline (economics,…",35000.0
866,business analyst - sap - utilities/manufacturing,Whitten & Co UK Ltd,Bristol•Temporarily Remote,"supporting data cleansing, mapping, and migration activities to ensure that data to be migrated to the new systems is complete and accurate.",37500.0
868,senior analyst – business services,Good Energy,Bristol•Temporarily Remote,"in the role you’ll be responsible for reporting on sales, analysing and manipulating half hourly data sets, data quality, portfolio analysis, as well as…",45000.0
871,senior business intelligence sql developer,University Hospitals Bristol and Bristol NHS...,Bristol BS2 8EJ,"developing and maintaining data processing and data flows and updating routines, including writing and maintaining appropriate documentation.",35666.5
874,financial services business analyst,Michael Page UK,Bristol,proactively to provide business analysis and project consultancy to the business and other business analysts working in the team.,55000.0
875,business intelligence analyst,Artis Recruitment,Bristol,experience of operating within data management best practice frameworks.very strong excel experience with strength in using multiple data sources within pivot…,45000.0
881,senior insight analyst,ADLIB,Bristol,"an expert in data reporting, confident in presenting and telling a story with data.you’ll also be using your expertise to produce effective, clear code to…",50000.0
882,data visualization manager,ADLIB,Bristol,"experience working with a data warehouse.finally, you’re passionate about anything and everything data.you’ll also be a key line of communication between the…",60000.0
883,f&a business analyst,Sopra Steria,Bristol BS1,"be and expert in information resources, understanding how systems, data flows and processes interact in areas of functional expertise extending to end to end…",23000.0
886,bi manager,Talent International,Bristol,a technology company in central bristol with a great culture are seeking a business intelligence manager who shares their core values and can provide valuable…,52500.0
887,senior pricing analyst (12 month ftc,Artis Recruitment,Bristol,"you'll be dealing with large volumes of data so your excel skills with be excellent, you'll have strong sql capability and be an absolute whizz at data…",57500.0
897,business analyst,Hoop Accountancy & Finance,Cwmbran,"design, compile and deliver high quality commercial data and reports.support new bids team with relevant data / insight to ensure successful bids.",35000.0
898,litigation risk analyst,Temple Legal Protection Ltd,Bristol•Temporarily Remote,"this role will mainly focus on managing insurance schemes, assessing new risks and developing new business opportunities.job types: full-time, permanent.",32500.0
899,"costing analyst/modelling- c,bristol",re&m,Bristol,"to work within project and consultancy teams and apply costing analytical skills to a wide range of defence projects involving platforms, weapon and network…",27500.0
903,business test analyst,Momentum Security Recruitment,Bristol+1 location•Remote,"understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.job types: full-time, permanent.",25000.0
904,policy and process analyst,CCP,Cardiff,"seek out process improvement and automation opportunities through process and data analysis.they are able to offer a flexible, hybrid working arrangement on a…",47500.0
906,bi developer,Brightred,Bristol,background in data warehouse design (e.g. dimensional modelling).3 years experience working in a bi capacity: data processing and reporting environment.,50000.0
907,business intelligence manager,Artis Recruitment,Bristol BS1,"develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",62500.0
913,test analyst (business process testing),Momentum Security Recruitment,Bristol-super-Mare+2 locations•Remote,"understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.job types: full-time, permanent.",26000.0
958,research analyst - portuguese speaking,Metrica Recruitment,Bristol,"as a research analyst you will take responsibility for a range of varied assignments to support larger projects, with increased responsibility as you establish…",32000.0
960,test analyst (business process testing),Momentum Security Recruitment,Bristol-super-Mare+2 locations•Remote,understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.salary: £25k - £27k*.,26000.0
1031,supply chain analyst,Metrica Recruitment,Bristol,"good data analysis skills e.g. excel, microsoft dynamics, sql.this is an exclusive opportunity for an adventurous analyst to join one of the most exciting…",35000.0
1065,senior insight analyst,Metrica Recruitment,Bristol,"good knowledge of data visualisation tools.strong knowledge of sql for data manipulation and extraction.joining the small yet talented insight team, your work…",47500.0
1191,policy and process analyst,CCP,Cardiff,seek out process improvement and automation opportunities through process and data analysis.ccp has passionately supported candidates with ‘customer contact’…,47500.0
1477,lead data analyst,St Richard’s Hospice,Birmingham WR5 2QT,you will lead to provide outstanding business data analytics to facilitate improved business performance.this fantastic opening will have the responsibility…,45000.0
1480,business performance analyst,National Grid,Birmingham CV34 6DA,"you will be a passionate analyst, with excellent data and financial skills and the ability to analyse and review performance related data, ideally within a…",44074.5
1481,cost intelligence analyst,Highways England,Birmingham,the main aim of the database co-ordinator is to ensure the smooth transition of data from multiple data sources to feed into the cost intelligence team for…,31659.0
1483,market research analyst,Homeserve,Birmingham WS2 7BN,carries out own analysis and desk research (sometimes on returned research data) and desk research as required.experienced in an insight / research based role.,35000.0
1485,graduate data analyst (ref: dw),Mitchell Adam,Birmingham,your excellent rapport building skills will be put to the test as you became a pillar stone for liaison between internal teams and external stakeholders.,25000.0
1486,data analyst – immediately available (ref: gj),Mitchell Adam,Birmingham•Temporarily Remote,gain invaluable experience to kick start your career in the field of data.be aware of the “human” factors surrounding the covid outbreak who can confidently…,27000.0
1487,data analyst,NFU Energy,Birmingham CV8 2LS,"experience of using data processing formulae and functions in excel.supporting energy trading activities through market, data and contract analysis.",26500.0
1488,junior data analyst,SF Group,Birmingham,an entry level understanding of data analysis.junior data analyst with an entry level understanding of sql server and data manipulation using excel is sought…,21500.0
1495,reporting+data analyst,Matt Nottingham Associates,Birmingham B37 7YE•Remote,"worked previously in data analyst role or similar.analyse and interpret multiple data sets, including complex data, to create integrated data models,…",35000.0
1498,junior data analyst,Flat Fee Recruiter,Birmingham•Remote,"advanced ms excel experience for bulk data manipulation and visual presentation, use of formulae and other data tools.£22,000 - £28,000 per annum.",25000.0
1499,band 7 senior information analyst - home working/trust hq,Birmingham and Birmingham Mental Health NHS...,Birmingham B1 3RB•Remote,our information team works closely with operational services to analyse data and continuously develop reporting systems to help meet this challenge.,42948.0
1500,business intelligence analyst – intern,Volvo Group,Birmingham,experience of understanding requirements and creating reports by manipulating data.feed into a specific business transformation project ongoing aLondon the…,18000.0
1501,business intelligence officer,Office of Rail and Road,Birmingham,"in this role, you will be part of the data production and publication process, supporting orr’s national statistics and monitoring functions via the orr data…",29142.5
1502,global business coordination analyst,Aldi,Leeds B77 5PN,"proactively utilise commercial data provided by the research team in the development of propositions and business cases.salary: £47,100 - £54,255.",47100.0
1508,"data analyst assessor, trainer or teacher",Local Education and Development Ltd,Birmingham WS1 1NS•Remote,the candidate will be required to successfully deliver *data analysis / analytics* study programmes from foundation to advanced level.,38000.0
1512,processing analyst (tier 1),OSB Group,Birmingham WV10 6TD,previous work experience as an analyst.supporting both internal and external auditing where data analysis is required and providing feedback to management.,22500.0
1513,business analyst - jid 14789,Spinwell Global,Birmingham,"demonstrate an understanding of data protection and confidentiality.ability to analyse and interpret complex data-sets.job types: full-time, permanent.",48710.5
1514,business analyst - permanent,SF Group,Birmingham,"analysis techniques including data, environment, business and system aspects.paying a starting salary of £41,000 + 20% pension contribution and 40 days annual…",41000.0
1517,energy efficiency analyst,Parkwood Leisure,Birmingham,"collating consumption data, analysing trends, and identifying areas of opportunities.ability to analyse large data sets, take initiative, identify priorities,…",24000.0
1519,business analyst (software),Nimbus Property Systems Limited,Birmingham Spa•Remote,"you will of course ensure that non-functional requirements such as security, scalability, resilience, and usability are considered as an integral part of the…",32500.0
1520,product analyst,kdr Recruitment,West Birmingham,strong mathematical and non-mathematical problem solving and data analysis skills.you will have a keen want and need to learn and develop yourself as a product…,32500.0
1523,business intelligence manager,Al Rayan Bank,Birmingham,"you will also be responsible for ensuring availability, reporting and governance of data critical to the bank which includes evaluation and implementation of…",51000.0
1525,environmental scientist / analyst,Office for Environmental Protection,Birmingham•Temporarily Remote,"with the insights team, set and maintain corporate standards for collecting, analysing and reporting scientific data.season ticket and rental deposit loans.",38254.0
1526,credit risk analyst,Harnham,Birmingham,"identifying deviation from agreed processes and rules through complex analysis, using multiple data sources.up to £37,000 + pension + bonus.",33500.0
1534,business analyst,Forsyth Barnes,Birmingham+1 location•Remote,the business are recognised and awarded for their excellent employee and customer satisfaction rates and have performed exceptionally well over the last 5 years…,45000.0
1540,business analyst - supplier risk lead,Jaguar Land Rover,Birmingham,"undertake supplier financial review at the sourcing stage, using records from companies house (and overseas equivalents), credit rating providers and supplier’s…",47000.0
1541,data and systems analysis manager,University of Birmingham,University of Birmingham,"in addition, the role focuses on a range of data and systems improvement projects, as well as provision of training to allow data-related tasks to be completed…",46222.5
1544,senior product analyst,NFU Mutual,Stratford-upon-Birmingham•Remote,strong mathematical and non-mathematical problem solving and data analysis skills.based at our impressive head office in stratford-upon-Birmingham and with the…,32500.0
1545,senior credit risk analyst,Integer Resourcing Limited,Birmingham B3 3HN•Remote,own manage and maintain documentation of risk management policy.lead a programme to continually identify opportunities to safely grow the business.,62500.0
1549,it business analyst apprentice,QA Apprenticeships,Birmingham B91 2AA,"the it business analyst will work closely with London-functional teams, consultants, business process transformation experts, and collaboratively work with…",18000.0
1551,"marketing assistant - research, insights & analysis",Veolia,Birmingham,ensure all marketing generated data is managed legally and appropriately.salary - competitive salary plus excellent veolia benefits.,28000.0
1555,infrastructure agile business analyst,Jark,Birminghamshire,"my client, based in the Birminghamshire area is looking to recruit an infrastructure agile business analyst on a permanent basis.",52500.0
1556,reporting business analyst - birmingham - hybrid - up to gbp...,Nigel Frank International Limited,Birmingham+2 locations,"they are seeking to welcome an experienced bi reporter/analyst with strong data visualization skills to join their rapidly growing and friendly team, in a…",45000.0
1557,insight analyst,Midcounties Co-operative,Birmingham CV34 6DA,turn raw data into actionable strategic insight.advanced proficiency with excel and data analysis.you will be responsible for managing research projects…,28500.0
1559,business analyst,Pertemps Network Group,Coventry,"if you have knowledge working on transformation programmes encompassing the migration of data and processes aLondon multiple systems, or elements including crm,…",42500.0
1560,d365 f&o manufacturing analyst,Catch Resource Management Ltd,West Birmingham,"interpret data and analyse results using statistical techniques and provide ongoing reports, including identifying, analysing and interpreting trends or…",50000.0
1561,it change business analyst,Michael Page UK,West Birmingham,"taking part in workshops, presentations and supporting data modelling, whilst adhering to a core business value of being as creative as possible.",41500.0
1562,commercial analyst,Pertemps Network Group,OldManchester,keen interest in the data side.the ideal candidate must have previous experience with forecasting and budgeting as well as a desire to analysis pursue data…,32500.0
1563,interim health inequalities analyst,Seymour John,Birmingham•Remote,"scope, design and develop data analysis to evidence examples of health inequality aLondon specialised commissioning.",44503.0
1564,business analyst apprentice,depotnet,Birmingham in Arden,create data models to illustrate how your data is represented within your business systems.identify your data requirements to improve your business.,18000.0
1565,business analyst,Solo Search,Birmingham•Remote,in-depth knowledge of data modelling techniques.our client is looking for an experienced business analyst who is an experienced software professional able to…,45000.0
1567,actuarial analyst,Wesleyan Assurance Society,Birmingham B4 6AR,"you’ll be a curious, motivated and hardworking individual who’ll thrive in a problem solving and data analysis environment.",50000.0
1569,interim reporting analyst,Seymour John,Birmingham,"we are working with the nhs to identify an experienced nhs interim reporting analyst.assist in the design, governance and management of ics focused reporting…",44503.0
1572,senior business intelligence analyst/developer - interim (up...,Al Rayan Bank,Birmingham,"also responsible for ensuring availability, reporting and governance of data critical to the bank which includes evaluation and implementation of appropriate…",55000.0
1576,business analyst,Eden Brown Synergy,West Birmingham,you will produce and disseminate reports against specific data quality kpi's to ensure appropriate management action and provide insight and assurance on the…,50172.5
1581,urgent care/ performance reporting analyst - band 5 ftc,Coventry and Birminghamshire Partnership NHS Trust,Coventry CV6 6NY•Temporarily Remote,"applicants will have excellent communication and people management skills and have the ability to collect, analyse and interpret complex data and information…",28594.5
1582,bi developer - ms bi stack ssis,Lorien,Birmingham,"working in project teams, the bi developer will develop data analytics solutions for client, and data-driven technology assets.",45000.0
1584,bi consultant - birmingham,Nigel Frank International Limited,Birmingham•Remote,support clients on their journey to become data-driven organisations.my client is a growing ms gold partner who specialise in sql server and power bi on…,50000.0
1586,front - end bi consultant - west bromwich - hybrid - up to g...,Nigel Frank International Limited,West Bromwich,"they are seeking to welcome an experienced bi reporter/analyst with strong data visualization skills to join their rapidly growing and friendly team, in a…",45000.0
1590,community mh transformation analyst - band 5 ftc,Coventry and Birminghamshire Partnership NHS Trust,Coventry CV6 6NY•Temporarily Remote,"applicants will have excellent communication and people management skills and have the ability to collect, analyse and interpret complex data and information…",28594.5
1596,bi developer,kdr Recruitment,Birmingham,experience building financial data and reporting solutions within the insurance industry.you’ll be developing large-scale data and reporting solutions within…,50000.0
1598,lead business systems analyst - d365,Biffa Waste Services,Birmingham,"experience leading a team of business systems analysts in a customer facing arena, including contact centres, ecommerce and customer facing websites and apps.",55000.0
1600,bi developer,Oscar Technology,Birmingham•Remote,knowledge and experience of developing an enterprise data warehouse.support the resolution of data quality issues at the source.25 days day's annual leave.,42500.5
1601,bi consultant - home - based - gbp50 - 65k,Nigel Frank International Limited,Birmingham•Remote,please note - this role is home based but will require you to travel to client site when required.a fantastic microsoft gold partner is looking to recruit a…,57500.0
1602,sr bi developer,Prasam IT Services Limited,Birmingham WV3 0SR•Remote,"define and advocate analytics best practices in the areas of data modelling, data wrangling, data visualization and data storytelling.",47500.0
1604,benefits / process analysts - band 6 ftc,Coventry and Birminghamshire Partnership NHS Trust,Coventry CV6 6NY•Temporarily Remote,"applicants will have excellent communication and people management skills and have the ability to collect, analyse and interpret complex data and information…",35666.5
1606,bi developer - uk wide,Nigel Frank International Limited,Birmingham,maintain and support data warehouse and bi reporting platform.engage with stakeholders to ensure successful implementation of bi in line with the requirements.,47500.0
1607,front - end bi consultant - Birmingham - up to gbp50k,Nigel Frank International Limited,Birmingham,"they are seeking to welcome an experienced bi reporter/analyst with strong data visualization skills to join their rapidly growing and friendly team, in a…",45000.0
1610,"it software business analyst - birmingham, uk",Nigel Frank International Limited,Birmingham,"they have a healthy pipeline of projects, which keeps growing and so, are increasing their head count due to growth.",50000.0
1613,test analyst (business process testing),Momentum Security Recruitment,Birmingham+1 location•Remote,"understanding of data creation and manipulation for testing.generate the necessary test data for different stages of testing.job types: full-time, permanent.",26000.0
1615,front - end bi consultant - Birmingham - hybrid - up to gbp50k,Nigel Frank International Limited,Birmingham,"they are seeking to welcome an experienced bi reporter/analyst with strong data visualisation skills to join their rapidly growing and friendly team, in a…",45000.0
1620,power bi consultant - work from home - uk wide,Nigel Frank International Limited,Birmingham•Remote,etl for data cleansing/ quality - 1/2 years of experience.power bi and dax - 3 years of experience.ssis - 1/2 years of experience.,47500.0
1621,bi developer - stratford - upon - Birmingham,Nigel Frank International Limited,Stratford-upon-Birmingham,assist analysts and other developers to find solutions to troubleshoot and data issues.design and develop azure data platform.,42500.0
1622,bi developer/consultant - Birmingham,Nigel Frank International Limited,West Birmingham•Remote,support clients on their journey to become data driven organisations.my client are a growing ms gold partner who specialise in sql server and power bi on…,44000.0
1625,bi developer / automation engineer,Searchability,Birmingham•Remote,bi developer / automation engineer – powerbi / sql / grafana / jira / strong communicator / analytical.experience with powerbi / sql / jira / grafana.,60000.0
1643,marketing analyst,Pitch Consultants,Birmingham B31 3UW,"experienced in fast paced work environments with large & complex data, delivering quick decision making that is commercial.",41000.0
1,data analyst,Move Dance,Manchester•Remote,organising and analysing raw data to drive actionable insights.highly analytical with the ability to turn data into actionable results.,31000.0
4,business analyst,RSA,Manchester•Remote,collating and reconciling data and information from various sources to ensure completeness and accuracy.the purpose of this role is to carry out a range of…,57500.0
